Sentence,Verb,neg,acomp,dobj,prep,nsubjpass,auxpass,xcomp,nsubj,agent,dative,compound,advmod,mark,conj,npadvmod,cc,oprd,preconj,prt,advcl,ccomp
1,consists,,,,"[of, a, wealthy, Capitol, and, twelve, poorer, districts]",,,,"[The, nation, of, Panem]",,,,,,,,,,,,,
2,must,,,,,,,,,,,,,,,,,,,,,
2,must provide,,,"[a, boy, and, girl,  , between, the, ages, of, 12, and, 18, selected, by, lottery,  , for, the, annual, Hunger, Games]","[As, punishment, for, a, past, rebellion]",,,,"[each, district]",,,,,,,,,,,,,
2,selected,,,,"[for, the, annual, Hunger, Games]",,,,,"[by, lottery,  ]",,,,,,,,,,,,
3,must,,,,,,,,,,,,,,,,,,,,,
3,must fight,,,,"[in, an, arena]",,,,"[The, tributes]",,,,,,,,,,,,,
3,rewarded,,,,"[with, fame, and, wealth]","[the, sole, survivor]",[is],,,,,,,,,,,,,,,"[The, tributes, must, fight, to, the, death, in, an, arena]"
4,chosen,,,,"[from, District, 12]","[12-year, -, old, Primrose, Everdeen]",[is],,,,,,,,,,,,,,,
5,volunteers,,,,,,,,,,,[Katniss],,,,,,,,,,
5,to take,,,"[her, place]",,,,,,,,,,,,,,,,,,
6,gave,,,"[Katniss, bread]",,,,,[who],,,,[once],,,,,,,,"[when, she, was, starving]",
6,was starving,,,,,,,,[she],,,,[when],,,,,,,,,
7,taken,,,,"[to, the, Capitol]","[Katniss, and, Peeta]",[are],,,,,,,,,,,,,,"[accompanied, by, their, frequently, drunk, mentor, ,, past, victor, Haymitch, Abernathy]",
7,accompanied,,,,"[past, victor, Haymitch, Abernathy]",,,,,"[by, their, frequently, drunk, mentor, ,]",,,,,,,,,,,,
8,warns,,,[them],"[about, the, "", Career, "", tributes, who, train, intensively, at, special, academies, and, almost, always, win]",,,,[He],,,,,,,,,,,,,
8,train,,,,"[at, special, academies]",,,,[who],,,,[intensively],,"[almost, always, win]",,[and],,,,,
8,win,,,,,,,,,,,,"[almost, always]",,,,,,,,,
9,reveals,,,"[his, love, for, Katniss]","[During, a, TV, interview, with, Caesar, Flickerman]",,,,[Peeta],,,,[unexpectedly],,,,,,,,,
10,believing,,,,,,,,,,,,,,,,,,,,,"[it, to, be, a, ploy, to, gain, audience, support, ,, as, "", sponsors, "", may, provide, in, -, Games, gifts, of, food, ,, medicine, ,, and, tools]"
10,to gain,,,"[audience, support]",,,,,,,,,,,,,,,,,,
10,may,,,,,,,,,,,,,,,,,,,,,
10,may provide,,,"[in, -, Games, gifts, of, food, ,, medicine, ,, and, tools]",,,,,"["", sponsors, ""]",,,,,[as],,,,,,,,
11,discovers,,,,,,,,[she],,,,[However],,,,,,,,,"[Peeta, meant, what, he, said]"
11,meant,,,,,,,,[Peeta],,,,,,,,,,,,,"[what, he, said]"
11,said,,,[what],,,,,[he],,,,,,,,,,,,,
12,televised,,,,,,,,,,,,,,,,,,,,,
12,begin,,,,"[with, half, of, the, tributes, killed, in, the, first, few, minutes]",,,,"[The, televised, Games]",,,,,,,,,,,,,
12,killed,,,,"[in, the, first, few, minutes]",,,,,,,,,,,,,,,,,
12,survives,,,,,,,"[ignoring, Haymitch, 's, advice, to, run, away, from, the, melee, over, the, tempting, supplies, and, weapons, strewn, in, front, of, a, structure, called, the, Cornucopia]",[Katniss],,,,[barely],,,,,,,,,"[The, televised, Games, begin, with, half, of, the, tributes, killed, in, the, first, few, minutes]"
12,ignoring,,,"[Haymitch, 's, advice, to, run, away, from, the, melee, over, the, tempting, supplies, and, weapons, strewn, in, front, of, a, structure, called, the, Cornucopia]",,,,,,,,,,,,,,,,,,
12,to run,,,,"[over, the, tempting, supplies, and, weapons, strewn, in, front, of, a, structure, called, the, Cornucopia]",,,,,,,,"[away, from, the, melee]",,,,,,,,,
12,strewn,,,,"[in, front, of, a, structure, called, the, Cornucopia]",,,,,,,,,,,,,,,,,
12,called,,,,,,,,,,,,,,,,,"[the, Cornucopia]",,,,
13,forms,,,"[an, uneasy, alliance, with, the, four, Careers]",,,,,[Peeta],,,,,,,,,,,,,
14,find,,,[Katniss],,,,,[They],,,,[later],,"[corner, her, up, a, tree]",,[and],,,,,
14,corner,,,"[a, tree]",[up],,,,,,,,,,,,,,,,,
15,hiding,,,,"[in, a, nearby, tree]",,,,,,,,,,,,,,,,,
15,draws,,,"[her, attention]","[to, a, poisonous, tracker, jacker, nest, hanging, from, a, branch]",,,,"[Rue, ,, hiding, in, a, nearby, tree, ,]",,,,,,,,,,,,,
15,hanging,,,,"[from, a, branch]",,,,,,,,,,,,,,,,,
16,drops,,,[it],"[on, her, sleeping, besiegers]",,,,[Katniss],,,,,,,,,,,,,
